company,email,industry,city,state,country,originalWebsite,source,status,personalisedColdEmail,mockupEmail,personalizedObservation,salesNote,tags,leadScore,estimatedValue,lowestEstimate,highestEstimate,dateAdded
MasterAZscapes,info@landscaper-phoenix.com,Pool building,Scottsdale,AZ,USA,https://landscaper-phoenix.com,cold-outreach,researched,"Subject: what a pool buyer can't find

Hi [First Name],

I spent a while in your gallery the way a couple does after they've decided to do it and are just picking who.

The work looks excellent, and the reviews in this category are hard-won.

But something structural is working against you here, and it isn't anybody's fault. Everyone arrives with the same two questions — what does something like mine cost, and how long does it take — and almost no pool site answers either, so both become a phone call, and most people don't make it. So they keep scrolling, and eventually ring whoever showed them a pool like theirs.

Here's my offer, and it's a simple one. Let me build MasterAZscapes a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: here it is

Here it is. Two minutes and you have seen it.

Builds filterable by size, style and budget band, with a rough range said out loud and a proper enquiry rather than a contact box.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions either way: would you ever publish a starting price? And do people come to you with a design in mind, or a budget?

[Sender Name]","the gallery cannot be sorted by size or budget, so nobody finds a build that looks like their own yard","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;pool-building;AZ,75,10000,"$5,000","$18,000",06082026
Med Boutique,,Med spa,Charlotte,NC,USA,,cold-outreach,researched,"Subject: booking you at 9pm

Hi [First Name],

I went looking for a med spa in Charlotte the way a new client does — on a phone, in the evening, three tabs open, wanting to book Botox for Thursday.

The reviews are doing a lot of work for you, and the treatment menu is clearly built by people who know the category.

There's a problem underneath it that isn't anybody's fault. Your reviews are your best salesperson and they live on Google, not on your homepage, where the person deciding between you and the spa down the road never sees them. The client doesn't wait until morning to call. She books wherever the button was.

Here's my offer, and it's a simple one. Let me build Med Boutique a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is. Two minutes and you have seen it.

Everything a phone-first client needs in one screen: what it costs, what it looks like, and a slot on Thursday, without a phone call.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your answer to either way: would you let clients book without a consult call first? And is membership the thing you'd want pushed hardest here?

[Sender Name]","everyone arriving is already sold and wants a time, and the site is built to describe treatments instead","No website found in research. Look up the site and address, or call.",field-run-003;med-spa;NC,75,10000,"$5,000","$18,000",06082026
Miami Designer Smiles,info@miamidesignersmiles.com,Cosmetic dentistry,Miami,FL,USA,https://miamidesignersmiles.com,cold-outreach,researched,"Subject: what a smile-makeover patient sees

Hi [First Name],

I spent a while on your site as a patient with a $15k case in mind. They research for months and they research on a phone, at night, alone.

You are obviously good at the dentistry. That is not the problem here.

But there's a structural problem underneath it that isn't anyone's fault. A veneer case is a fifteen-thousand-dollar decision made from before-and-after photos and a price range — and on most practice sites the photos are buried in a subpage and the price is nowhere at all, which reads as expensive rather than as discreet. One case a month lost that way is more than a website costs, several times over.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Miami Designer Smiles, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: here it is

Here it is. Two minutes and you have seen it.

A homepage built for the cosmetic patient: before-and-afters at the top, the range in plain numbers, and a request form that takes fifteen seconds.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd like your answer to either way: does putting a price range on the site help you or bring you the wrong calls? And is it veneers or implants that pays best for you?

[Sender Name]","a $15k veneer case is decided from before-and-afters and a price range, and neither is easy to reach","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;cosmetic-dentistry;FL,75,12000,"$6,000","$22,000",06082026
Midtown Family Dentistry of Dallas,,Cosmetic dentistry,Dallas,TX,USA,,cold-outreach,researched,"Subject: one thing worth flagging

Hi [First Name],

I looked at Midtown Family Dentistry of Dallas the way a patient who has been putting this off for three years looks at it — half-decided, on a phone, easily scared off.

The case work speaks for itself, and the reviews back it up.

There's a problem underneath it that isn't anybody's fault. The decision happens at night on a phone, and booking usually means ringing a front desk between nine and five, so the moment somebody finally feels ready has nowhere to go. That's the biggest case of the month deciding not to ring.

Here's what I'd like to do about it. I'll build Midtown Family Dentistry of Dallas a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Want me to build you one?

[Sender Name]
Bothmade","Subject: Midtown Family Dentistry of Dallas — here it is

Here it is — Midtown Family Dentistry of Dallas, as promised.

Cases first, filterable by treatment, with a price range stated plainly and a booking that works at 9pm.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd genuinely like your view on: would you separate the cosmetic patient from the general one like this? And how many cases a month start as a form rather than a call?

[Sender Name]",the cosmetic patient and the check-up patient want opposite things from one homepage,"No website found in research. Look up the site and address, or call.",field-run-003;cosmetic-dentistry;TX,75,12000,"$6,000","$22,000",06082026
Midtown Smiles,info@midtownsmilestn.com,Cosmetic dentistry,Nashville,TN,USA,https://midtownsmilestn.com,cold-outreach,researched,"Subject: Nashville · the 9pm booking problem

Hi [First Name],

I looked at Midtown Smiles as somebody quietly researching a smile makeover would. On a phone, at night, not ready to ring a front desk yet.

You are obviously good at the dentistry. That is not the problem here.

But there's something structural working against you, and it isn't anyone's fault. Cosmetic patients and check-up patients want completely different things, and one homepage is nearly always built for the check-up patient — so the $15k case has to hunt for what it came for. They don't call in the morning. They keep scrolling, and someone else gets the case.

I'd like to build you one. A homepage concept for Midtown Smiles, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: here it is

Here it is — Midtown Smiles, as promised.

Cases first, filterable by treatment, with a price range stated plainly and a booking that works at 9pm.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd genuinely like your view on: would you separate the cosmetic patient from the general one like this? And how many cases a month start as a form rather than a call?

[Sender Name]",the cosmetic patient and the check-up patient want opposite things from one homepage,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;cosmetic-dentistry;TN,75,12000,"$6,000","$22,000",06082026
Moderne Medical,info@modernemedical.com,Med spa,Scottsdale,AZ,USA,https://modernemedical.com,cold-outreach,researched,"Subject: one thing about your booking

Hi [First Name],

I looked at Moderne Medical the way a client who follows you on Instagram does — arriving from a phone, already sold on the treatment, just needing a time.

The client loyalty in this category is everything and yours reads real.

But there's a structural problem underneath it that isn't anyone's fault. A website can list treatments; it can't take a booking at nine at night, and nine at night is when the decision gets made. Most spa sites hand that moment to a phone number and office hours. Every one of those is revenue that left without leaving a trace.

Here's what I'd like to do about it. I'll build Moderne Medical a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: Moderne Medical — here it is

Here it is. Two minutes and you have seen it.

Booking is the homepage — pick the treatment, pick a time, done — with the reviews sitting right beside it where they close the sale.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your view on: are prices on the site a help or a headache for you? And which treatment brings you the most new clients?

[Sender Name]",the reviews doing the selling live on Google rather than on the homepage where the decision is made,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;med-spa;AZ,75,10000,"$5,000","$18,000",06082026
Moore Injury Law,,Personal injury law,Phoenix,AZ,USA,,cold-outreach,researched,"Subject: your intake, on a phone

Hi [First Name],

I spent a while on your site as the person on the other end of your intake line would: rear-ended on Tuesday, off work, and being pressured to accept four thousand dollars.

You've clearly won the cases that matter. That is not the problem.

But something structural is working against you, and it isn't anybody's fault. Every firm in town says the same four things on the same dark blue homepage, so a frightened person has no way to tell you apart, and defaults to whoever's billboard they remember. And your intake team spends its day sorting cases a form could have sorted.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Moore Injury Law, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is — Moore Injury Law, as promised.

A homepage that answers the three questions every caller has in the first screen, and an intake form that arrives already sorted by case type and severity.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on either way: what's the one fact your intake team needs that a form never captures? And do most of your cases start as calls or as forms now?

[Sender Name]","the site is about the firm, and the visitor arrived with a situation and three questions it never answers","No website found in research. Look up the site and address, or call.",field-run-003;personal-injury-law;AZ,75,20000,"$10,000","$35,000",06082026
Moore Landscaping,info@naplesluxurylandscaper.com,Landscape design build,Naples,FL,USA,https://naplesluxurylandscaper.com,cold-outreach,researched,"Subject: one thing about your portfolio

Hi [First Name],

I looked at Moore Landscaping as somebody planning a serious outdoor project would: design-led, photo-first, and quietly worried about what it will cost.

The work is beautiful and clearly design-led, which is rarer in this trade than it should be.

But there's a structural problem underneath it that isn't anyone's fault. Design-led buyers choose from images, and your images are shown as a scroll rather than something you can narrow by style, scale or budget. That's a design fee lost to the studio with a better-sorted website.

I'd like to build you one. A homepage concept for Moore Landscaping, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Want me to build you one?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is — Moore Landscaping, as promised.

The portfolio narrowed the way designers choose, and a brief form that captures the lot, the ambition and the timing.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions either way: do clients come to you for design or for build first? And would publishing a design fee range help or hurt?

[Sender Name]","design-led buyers choose from images, and the images cannot be narrowed by style, scale or budget","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;landscape-design-build;FL,75,9000,"$5,000","$16,000",06082026
Morrison & Hughes Law,,Personal injury law,Atlanta,GA,USA,,cold-outreach,researched,"Subject: your intake, on a phone

Hi [First Name],

I went through your site in Atlanta the way an injured person does — on a phone, in pain, two days after a crash, with an adjuster already calling them.

The results speak for themselves, and the trial experience is obvious.

But something structural is working against you, and it isn't anybody's fault. Every firm in town says the same four things on the same dark blue homepage, so a frightened person has no way to tell you apart, and defaults to whoever's billboard they remember. That's a real case walking, on nothing but a website's tone.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Morrison & Hughes Law, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is.

Case types up front in plain words, the results next to them, and an intake that works at 2am without a human on the line.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on either way: what's the one fact your intake team needs that a form never captures? And do most of your cases start as calls or as forms now?

[Sender Name]","the site is about the firm, and the visitor arrived with a situation and three questions it never answers","No website found in research. Look up the site and address, or call.",field-run-003;personal-injury-law;GA,75,20000,"$10,000","$35,000",06082026
Mullen & Mullen Law Firm,info@mullenandmullen.com,Personal injury law,Dallas,TX,USA,https://mullenandmullen.com,cold-outreach,researched,"Subject: one thing about your case pages

Hi [First Name],

I went through your site in Dallas the way an injured person does — on a phone, in pain, two days after a crash, with an adjuster already calling them.

The results speak for themselves, and the trial experience is obvious.

But something structural is working against you, and it isn't anybody's fault. Every firm in town says the same four things on the same dark blue homepage, so a frightened person has no way to tell you apart, and defaults to whoever's billboard they remember. So the case that was worth a quarter of a million rings the firm whose site felt like it was written for them.

Here's what I'd like to do about it. I'll build Mullen & Mullen Law Firm a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: here it is

Here it is. Two minutes and you have seen it.

A homepage that answers the three questions every caller has in the first screen, and an intake form that arrives already sorted by case type and severity.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your answer to: which case type is worth the most to you? And would you let a form triage before a human speaks to them?

[Sender Name]",intake is the whole business and it runs through a form that asks for a name and a message,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;personal-injury-law;TX,75,20000,"$10,000","$35,000",06082026
MyBath Colorado,info@mybathcolorado.com,Kitchen and bath remodeling,Denver,CO,USA,https://mybathcolorado.com,cold-outreach,researched,"Subject: Denver · the unqualified enquiry problem

Hi [First Name],

I looked at MyBath Colorado as somebody about to spend sixty thousand dollars on a kitchen would. Photos, price, and whether you'll turn up when you say.

The craftsmanship comes across, and that is not true of most sites in this category.

But something structural is working against you, and it isn't anybody's fault. Your enquiry form asks for a name and a message, so every lead arrives unqualified and your first call is an interview instead of a conversation. So you spend your evenings quoting jobs that were never real, and the real ones went to whoever answered faster.

Here's my offer, and it's a simple one. Let me build MyBath Colorado a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is — MyBath Colorado, as promised.

Before-and-afters filterable by room, style and budget band, and an enquiry that asks about the room, the scope and the timing.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd like your answer to either way: would you show budget bands? And what do you wish every enquiry told you before you rang them back?

[Sender Name]",before-and-afters are what sell this and they are shown as a small unfilterable gallery,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;kitchen-and-bath-remodeling;CO,75,8500,"$4,000","$15,000",06082026
Nashville Aesthetic Dentistry,,Cosmetic dentistry,Nashville,TN,USA,,cold-outreach,researched,"Subject: what a smile-makeover patient sees

Hi [First Name],

I spent a while on your site as a patient with a $15k case in mind. They research for months and they research on a phone, at night, alone.

The clinical side is clearly strong, and this is a category where patients can tell.

But there's something structural working against you, and it isn't anyone's fault. Cosmetic patients and check-up patients want completely different things, and one homepage is nearly always built for the check-up patient — so the $15k case has to hunt for what it came for. One case a month lost that way is more than a website costs, several times over.

Here's my offer, and it's a simple one. Let me build Nashville Aesthetic Dentistry a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: Nashville Aesthetic Dentistry — here it is

Here it is — Nashville Aesthetic Dentistry, as promised.

Cases first, filterable by treatment, with a price range stated plainly and a booking that works at 9pm.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd like your answer to either way: does putting a price range on the site help you or bring you the wrong calls? And is it veneers or implants that pays best for you?

[Sender Name]","a $15k veneer case is decided from before-and-afters and a price range, and neither is easy to reach","No website found in research. Look up the site and address, or call.",field-run-003;cosmetic-dentistry;TN,75,12000,"$6,000","$22,000",06082026
Nashville Med Spa NSI,,Med spa,Nashville,TN,USA,,cold-outreach,researched,"Subject: booking you at 9pm

Hi [First Name],

I went looking for a med spa in Nashville the way a new client does — on a phone, in the evening, three tabs open, wanting to book Botox for Thursday.

Your reputation locally is obvious, and that is the hardest part of this business to build.

But there's a structural problem underneath it that isn't anyone's fault. A website can list treatments; it can't take a booking at nine at night, and nine at night is when the decision gets made. Most spa sites hand that moment to a phone number and office hours. Every one of those is revenue that left without leaving a trace.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Nashville Med Spa NSI, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: Nashville Med Spa NSI — here it is

Here it is. Two minutes and you have seen it.

Treatments priced and bookable in two taps, reviews on the same screen, and the memberships made obvious rather than hidden three pages in.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your answer to either way: would you let clients book without a consult call first? And is membership the thing you'd want pushed hardest here?

[Sender Name]","everyone arriving is already sold and wants a time, and the site is built to describe treatments instead","No website found in research. Look up the site and address, or call.",field-run-003;med-spa;TN,75,10000,"$5,000","$18,000",06082026
Nashville Restorative Dentistry,info@nashvillerestorativedentistry.com,Cosmetic dentistry,Nashville,TN,USA,https://nashvillerestorativedentistry.com,cold-outreach,researched,"Subject: your veneer cases, and your website

Hi [First Name],

I went looking for a cosmetic dentist in Nashville the way a veneer patient does — evening, on a phone, wanting to see cases and find out roughly what it costs before speaking to anybody.

The case work speaks for itself, and the reviews back it up.

But there's a structural problem underneath it that isn't anyone's fault. A veneer case is a fifteen-thousand-dollar decision made from before-and-after photos and a price range — and on most practice sites the photos are buried in a subpage and the price is nowhere at all, which reads as expensive rather than as discreet. They don't call in the morning. They keep scrolling, and someone else gets the case.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Nashville Restorative Dentistry, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Should I put one together for you?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is. Two minutes and you have seen it.

Cases first, filterable by treatment, with a price range stated plainly and a booking that works at 9pm.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd like your answer to either way: does putting a price range on the site help you or bring you the wrong calls? And is it veneers or implants that pays best for you?

[Sender Name]","a $15k veneer case is decided from before-and-afters and a price range, and neither is easy to reach","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;cosmetic-dentistry;TN,75,12000,"$6,000","$22,000",06082026
Nashville Skin Society,,Med spa,Nashville,TN,USA,,cold-outreach,researched,"Subject: Nashville · your regulars vs your website

Hi [First Name],

I looked at Nashville Skin Society as somebody who has decided they want tox and just needs to pick where. Phone, evening, ten minutes of attention, maximum.

Your reputation locally is obvious, and that is the hardest part of this business to build.

There's a problem underneath it that isn't anybody's fault. Your reviews are your best salesperson and they live on Google, not on your homepage, where the person deciding between you and the spa down the road never sees them. The client doesn't wait until morning to call. She books wherever the button was.

Here's what I'd like to do about it. I'll build Nashville Skin Society a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Want me to send one over?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is — Nashville Skin Society, as promised.

Everything a phone-first client needs in one screen: what it costs, what it looks like, and a slot on Thursday, without a phone call.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd like your view on: are prices on the site a help or a headache for you? And which treatment brings you the most new clients?

[Sender Name]",the reviews doing the selling live on Google rather than on the homepage where the decision is made,"No website found in research. Look up the site and address, or call.",field-run-003;med-spa;TN,75,10000,"$5,000","$18,000",06082026
Nassau Pools,info@nassaupools.com,Pool building,Naples,FL,USA,https://nassaupools.com,cold-outreach,researched,"Subject: your build photos, sorted

Hi [First Name],

I went through your site in Naples the way a homeowner planning a pool does — trying to find a build that looks like their backyard, at roughly their number.

The builds are genuinely impressive, and this is a business that lives or dies on photography.

But there's a structural problem underneath it that isn't anyone's fault. The gallery is the product, and it's shown as one long scroll with no way to sort by size, style, budget or lot shape — so nobody finds the build that resembles their own yard. That's a $90k build going to the company that answered the money question first.

Here's what I'd like to do about it. I'll build Nassau Pools a homepage concept — a real one, designed for your business, not a template with your logo dropped in — and send it over. It costs you nothing and there's no obligation attached to it. If you like it we can talk. If you don't, you keep the ideas and I go away.

Want me to build you one?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is.

The gallery sorted the way buyers actually choose, plus a timeline that says what happens between signing and swimming.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two questions either way: would you ever publish a starting price? And do people come to you with a design in mind, or a budget?

[Sender Name]","the gallery cannot be sorted by size or budget, so nobody finds a build that looks like their own yard","Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;pool-building;FL,75,10000,"$5,000","$18,000",06082026
New Life Plastic Surgery,,Plastic surgery,Miami,FL,USA,,cold-outreach,researched,"Subject: Miami · one thing about your consults

Hi [First Name],

I spent a while on your site as a patient would. Not at a desk — on a phone, at night, comparing you against two other Miami practices with fourteen tabs open.

The results speak for themselves — that part isn't in question, and neither is the credentialing.

But there's a problem underneath it that isn't anyone's fault. Nobody chooses a surgeon from a paragraph. They choose from the gallery, and the gallery is nearly always buried behind a menu, unfilterable, and painful to swipe through on the device it's being viewed on. The patient who was ready doesn't come back tomorrow. She books with the practice whose site answered her at midnight.

Here's my offer, and it's a simple one. Let me build New Life Plastic Surgery a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Want me to send one over?

[Sender Name]
Bothmade","Subject: here it is

Here it is. Two minutes and you have seen it.

A phone-first layout: results at the top filterable by procedure, the reviews next to them where they do the most work, and a consult request that takes fifteen seconds at midnight.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on either way: which procedure do most of your consult requests come in for? And would you ever let someone book a consult without speaking to your coordinator first?

[Sender Name]",the gallery is what converts a consult and on a phone it is three taps deep and unfilterable,"No website found in research. Look up the site and address, or call.",field-run-003;plastic-surgery;FL,75,16000,"$8,000","$28,000",06082026
Nicholas Custom Homes,,Custom home building,Denver,CO,USA,,cold-outreach,researched,"Subject: your portfolio, sorted

Hi [First Name],

I went through your site in Denver the way a couple with a lot to spend and a specific idea does — looking for the one project that looks like the house in their head.

The work itself is the strongest thing you have, and the photography does show it.

There's a problem underneath it that isn't anyone's fault. Your enquiry form asks for a name and a message. So every lead arrives unqualified, and your first call is spent finding out whether the project was ever real instead of talking about the house. That's a real project deciding, quietly, that you're not the one — on no evidence either way.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for Nicholas Custom Homes, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Worth two minutes of your time? Just reply yes.

[Sender Name]
Bothmade","Subject: here it is

Here it is.

The portfolio filterable by budget band, style and scope, so the couple with a specific project finds their project in about nine seconds.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on, whether or not this goes anywhere: is budget band something you'd ever show publicly? And what's the one question you wish every enquiry answered before you called them?

[Sender Name]","the portfolio is the entire product and there is no way to sort it by budget, style or scope","No website found in research. Look up the site and address, or call.",field-run-003;custom-home-building;CO,75,22000,"$12,000","$35,000",06082026
North Dallas Family Dental,,Cosmetic dentistry,Dallas,TX,USA,,cold-outreach,researched,"Subject: one thing worth flagging

Hi [First Name],

I looked at North Dallas Family Dental the way a patient who has been putting this off for three years looks at it — half-decided, on a phone, easily scared off.

The case work speaks for itself, and the reviews back it up.

There's a problem underneath it that isn't anybody's fault. The decision happens at night on a phone, and booking usually means ringing a front desk between nine and five, so the moment somebody finally feels ready has nowhere to go. One case a month lost that way is more than a website costs, several times over.

I'd like to build you one. A homepage concept for North Dallas Family Dental, designed properly, at my expense — not a proposal, not a deck, the actual thing. Yours to keep whether we ever work together or not. Most people who see theirs want to talk. Some don't, and that's genuinely fine.

Want me to build you one?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is.

Smile-makeover cases up front, the reviews next to them, financing said out loud, and booking that doesn't need your front desk to be awake.

It's a static design rather than a working build, so nothing clicks. I'd rather show you the idea honestly than fake a demo.

Two things I'd genuinely like your view on: would you separate the cosmetic patient from the general one like this? And how many cases a month start as a form rather than a call?

[Sender Name]",the cosmetic patient and the check-up patient want opposite things from one homepage,"No website found in research. Look up the site and address, or call.",field-run-003;cosmetic-dentistry;TX,75,12000,"$6,000","$22,000",06082026
North Texas Plastic Surgery,info@northtexasplasticsurgery.com,Plastic surgery,Dallas,TX,USA,https://northtexasplasticsurgery.com,cold-outreach,researched,"Subject: Dallas · one thing about your consults

Hi [First Name],

I spent a while on your site as a patient would. Not at a desk — on a phone, at night, comparing you against two other Dallas practices with fourteen tabs open.

The surgical reputation is clearly there, and the reviews say what reviews for a good practice say.

But something structural is working against you, and it isn't anyone's fault. The decision gets made at night, on a phone, and the two things that make it — the results and the price bracket — are the two hardest things to reach on most practice sites. So the request that would have come in at 11pm doesn't, and by morning she's booked a consult with whoever made it easy.

So rather than describe what I'd change, I'd rather just build it. I'll put together a homepage concept for North Texas Plastic Surgery, free, and send it to you. No meeting required to get it, no invoice at the end, no catch. Look at it for two minutes and tell me I'm wrong if I am.

Want me to build you one?

[Sender Name]
Bothmade","Subject: the concept, as promised

Here it is — North Texas Plastic Surgery, as promised.

Results first, filterable by procedure, sized for a phone — because that's the device and that's the decision. Consult booking sits on the same screen rather than behind a phone number.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on either way: which procedure do most of your consult requests come in for? And would you ever let someone book a consult without speaking to your coordinator first?

[Sender Name]",the gallery is what converts a consult and on a phone it is three taps deep and unfilterable,"Confirm the inbox before sending — info@ is the convention, not a verified address.",field-run-003;plastic-surgery;TX,75,16000,"$8,000","$28,000",06082026
Nova Homes of South Florida,,Custom home building,Naples,FL,USA,,cold-outreach,researched,"Subject: what your enquiry form doesn't ask

Hi [First Name],

I spent a while in your portfolio the way a homeowner does: hunting for the project that matches their lot, their budget and their taste, in that order.

The work itself is the strongest thing you have, and the photography does show it.

There's a problem underneath it that isn't anyone's fault. Your enquiry form asks for a name and a message. So every lead arrives unqualified, and your first call is spent finding out whether the project was ever real instead of talking about the house. So they leave without finding it, and go and look at the builder whose site let them filter.

Here's my offer, and it's a simple one. Let me build Nova Homes of South Florida a homepage concept for free. I'll design it around exactly this problem, send it over, and you decide. There's no obligation and nothing to sign to see it — I'd rather show you what we do than tell you.

Say the word and I'll start on it — want it?

[Sender Name]
Bothmade","Subject: Nova Homes of South Florida — here it is

Here it is. Two minutes and you have seen it.

The portfolio filterable by budget band, style and scope, so the couple with a specific project finds their project in about nine seconds.

It's a design, not a live site — nothing on it actually clicks yet. I'd rather be straight about that than fake a working demo.

Two questions I'd genuinely like your view on, whether or not this goes anywhere: is budget band something you'd ever show publicly? And what's the one question you wish every enquiry answered before you called them?

[Sender Name]","the portfolio is the entire product and there is no way to sort it by budget, style or scope","No website found in research. Look up the site and address, or call.",field-run-003;custom-home-building;FL,75,22000,"$12,000","$35,000",06082026
